lease_id,parcel_num,lease_num,parcel_name,status,waterbody,lease_type,src_merge,cmu_name,rain_in,days,emerg_cond,latitude,longitude,Shape_Length,Shape_Area
L-806,L-806,,DOG ISLAND,Occupied,,Bottom lease,AUZ,30_10,6.67,3,NO,29.143579819999999,-83.006544120000001,,
L-807,L-807,,DOG ISLAND,Occupied,,Bottom lease,AUZ,30_10,6.67,3,NO,29.142973500000000,-83.006371799999997,,
L-808,L-808,,DOG ISLAND,Occupied,,Bottom lease,AUZ,30_10,6.67,3,NO,29.142367220000001,-83.006199559999999,,
L-809,L-809,,DOG ISLAND,Occupied,,Bottom lease,AUZ,30_10,6.67,3,NO,29.141760919999999,-83.006027270000004,,
L-810,L-810,,DOG ISLAND,Occupied,,Bottom lease,AUZ,30_10,6.67,3,NO,29.146204420000000,-83.008761300000003,,
L-811,L-811,,DOG ISLAND,Occupied,,Bottom lease,AUZ,30_10,6.67,3,NO,29.145598130000000,-83.008589000000001,,
L-812,L-812,,DOG ISLAND,Occupied,,Bottom lease,AUZ,30_10,6.67,3,NO,29.144924469999999,-83.008397560000006,,
L-813,L-813,,DOG ISLAND,Occupied,,Bottom lease,AUZ,30_10,6.67,3,NO,29.144318179999999,-83.008225370000005,,
L-814,L-814,,DOG ISLAND,Occupied,,Bottom lease,AUZ,30_10,6.67,3,NO,29.143711880000001,-83.008052980000002,,
L-827,L-827,,DOG ISLAND,Occupied,,Water column MA,AUZ,30_10,6.67,3,NO,29.143105580000000,-83.007880680000000,,
L-828,L-828,,DOG ISLAND,Occupied,,Water column MA,AUZ,30_10,6.67,3,NO,29.142499279999999,-83.007708390000005,,
L-829,L-829,,DOG ISLAND,Occupied,,Water column MA,AUZ,30_10,6.67,3,NO,29.141892980000002,-83.007536110000004,,
L-830,L-830,,DOG ISLAND,Occupied,,Water column MA,AUZ,30_10,6.67,3,NO,29.141286690000001,-83.007363819999995,,
L-815,L-815,,DOG ISLAND,Occupied,,Bottom lease,AUZ,30_10,6.67,3,NO,29.145704139999999,-83.010171209999996,,
L-816,L-816,,DOG ISLAND,Occupied,,Water column lease,AUZ,30_10,6.67,3,NO,29.145097849999999,-83.009998899999999,,
L-817,L-817,,DOG ISLAND,Occupied,,Water column lease,AUZ,30_10,6.67,3,NO,29.144424200000000,-83.009807449999997,,
L-818,L-818,,DOG ISLAND,Occupied,,Water column lease,AUZ,30_10,6.67,3,NO,29.143817899999998,-83.009635160000002,,
L-819,L-819,,DOG ISLAND,Occupied,,Bottom lease,AUZ,30_10,6.67,3,NO,29.143211610000002,-83.009462850000006,,
CC-01,CC-01,,CAPE ROMANO,Vacant,,Bottom lease,AUZ,66_1,3.50,2,NO,25.839993539999998,-81.642636260000003,,
CC-02,CC-02,,CAPE ROMANO,Vacant,,Bottom lease,AUZ,66_1,3.50,2,NO,25.840540000000001,-81.642060639999997,,
CC-03,CC-03,,CAPE ROMANO,Vacant,,Bottom lease,AUZ,66_1,3.50,2,NO,25.841086460000000,-81.641485009999997,,
CC-04,CC-04,,CAPE ROMANO,Vacant,,Bottom lease,AUZ,66_1,3.50,2,NO,25.841632910000001,-81.640909379999997,,
CC-05,CC-05,,CAPE ROMANO,Vacant,,Bottom lease,AUZ,66_1,3.50,2,NO,25.842179370000000,-81.640333740000003,,
CC-08,CC-08,,CAPE ROMANO,Vacant,,Bottom lease,AUZ,66_1,3.50,2,NO,25.843818710000001,-81.638606800000005,,
CC-09,CC-09,,CAPE ROMANO,Vacant,,Bottom lease,AUZ,66_1,3.50,2,NO,25.844365150000002,-81.638031150000003,,
CC-10,CC-10,,CAPE ROMANO,Vacant,,Bottom lease,AUZ,66_1,3.50,2,NO,25.844911600000000,-81.637455489999994,,
CC-11,CC-11,,CAPE ROMANO,Vacant,,Bottom lease,AUZ,66_1,3.50,2,NO,25.845458040000000,-81.636879820000004,,
CC-12,CC-12,,CAPE ROMANO,Vacant,,Bottom lease,AUZ,66_1,3.50,2,NO,25.846004480000001,-81.636304150000001,,
CC-13,CC-13,,CAPE ROMANO,Vacant,,Bottom lease,AUZ,66_1,3.50,2,NO,25.846550900000000,-81.635728459999996,,
CC-14,CC-14,,CAPE ROMANO,Vacant,,Bottom lease,AUZ,66_1,3.50,2,NO,25.847097330000000,-81.635152779999999,,
CC-15,CC-15,,CAPE ROMANO,Vacant,,Bottom lease,AUZ,66_1,3.50,2,NO,25.847643770000001,-81.634577100000001,,
CC-16,CC-16,,CAPE ROMANO,Vacant,,Bottom lease,AUZ,66_1,3.50,2,NO,25.848190200000001,-81.634001400000002,,
L-549,L-549,,DERRICKS,Vacant,,Bottom lease,AUZ,30_1,10.5,3,YES,29.216923019999999,-83.095633039999996,,
l-525,l-525,,DERRICKS,Vacant,,Bottom lease,AUZ,30_1,10.5,3,YES,29.217182390000001,-83.093775769999993,,
L-501,L-501,,DERRICKS,Vacant,,Bottom lease,AUZ,30_1,10.5,3,YES,29.217441740000002,-83.091918469999996,,
L-550,L-550,,DERRICKS,Vacant,,Bottom lease,AUZ,30_1,10.5,3,YES,29.216379920000001,-83.095534470000004,,
L-551,L-551,,DERRICKS,Vacant,,Bottom lease,AUZ,30_1,10.5,3,YES,29.215836809999999,-83.095435910000006,,
L-552,L-552,,DERRICKS,Vacant,,Bottom lease,AUZ,30_1,10.5,3,YES,29.215293710000001,-83.095337369999996,,
L-553,L-553,,DERRICKS,Vacant,,Bottom lease,AUZ,30_1,10.5,3,YES,29.214750599999999,-83.095238820000006,,
L-554,L-554,,DERRICKS,Vacant,,Bottom lease,AUZ,30_1,10.5,3,YES,29.214207490000000,-83.095140250000000,,
L-555,L-555,,DERRICKS,Vacant,,Bottom lease,AUZ,30_1,10.5,3,YES,29.213664399999999,-83.095041690000002,,
L-556,L-556,,DERRICKS,Vacant,,Bottom lease,AUZ,30_1,10.5,3,YES,29.213121300000001,-83.094943150000006,,
L-557,L-557,,DERRICKS,Vacant,,Bottom lease,AUZ,30_1,10.5,3,YES,29.212578189999999,-83.094844600000002,,
L-558,L-558,,DERRICKS,Vacant,,Bottom lease,AUZ,30_1,10.5,3,YES,29.212035080000000,-83.094746049999998,,
L-559,L-559,,DERRICKS,Vacant,,Bottom lease,AUZ,30_1,10.5,3,YES,29.211491989999999,-83.094647490000000,,
L-560,L-560,,DERRICKS,Vacant,,Bottom lease,AUZ,30_1,10.5,3,YES,29.210948880000000,-83.094548950000004,,
L-561,L-561,,DERRICKS,Vacant,,Bottom lease,AUZ,30_1,10.5,3,YES,29.210405770000001,-83.094450399999999,,
L-562,L-562,,DERRICKS,Vacant,,Bottom lease,AUZ,30_1,10.5,3,YES,29.209862670000000,-83.094351869999997,,
L-563,L-563,,DERRICKS,Vacant,,Bottom lease,AUZ,30_1,10.5,3,YES,29.209319579999999,-83.094253399999999,,
L-564,L-564,,DERRICKS,Vacant,,Bottom lease,AUZ,30_1,10.5,3,YES,29.208776470000000,-83.094154860000003,,
L-565,L-565,,DERRICKS,Vacant,,Bottom lease,AUZ,30_1,10.5,3,YES,29.208233350000000,-83.094056240000000,,
L-566,L-566,,DERRICKS,Vacant,,Bottom lease,AUZ,30_1,10.5,3,YES,29.207690249999999,-83.093957709999998,,
L-567,L-567,,DERRICKS,Vacant,,Bottom lease,AUZ,30_1,10.5,3,YES,29.207147160000002,-83.093859150000000,,
L-568,L-568,,DERRICKS,Vacant,,Bottom lease,AUZ,30_1,10.5,3,YES,29.206604049999999,-83.093760610000004,,
L-569,L-569,,DERRICKS,Vacant,,Bottom lease,AUZ,30_1,10.5,3,YES,29.206060940000000,-83.093662069999993,,
L-570,L-570,,DERRICKS,Vacant,,Bottom lease,AUZ,30_1,10.5,3,YES,29.205517830000002,-83.093563549999999,,
L-571,L-571,,DERRICKS,Vacant,,Bottom lease,AUZ,30_1,10.5,3,YES,29.204974730000000,-83.093465010000003,,
L-572,L-572,,DERRICKS,Vacant,,Bottom lease,AUZ,30_1,10.5,3,YES,29.204431620000001,-83.093366380000006,,
L-526,L-526,,DERRICKS,Vacant,,Bottom lease,AUZ,30_1,10.5,3,YES,29.216639250000000,-83.093677479999997,,
L-527,L-527,,DERRICKS,Vacant,,Bottom lease,AUZ,30_1,10.5,3,YES,29.216096170000000,-83.093578669999999,,
L-528,L-528,,DERRICKS,Vacant,,Bottom lease,AUZ,30_1,10.5,3,YES,29.215553079999999,-83.093480110000002,,
L-529,L-529,,DERRICKS,Vacant,,Bottom lease,AUZ,30_1,10.5,3,YES,29.215009970000001,-83.093381559999997,,
L-530,L-530,,DERRICKS,Vacant,,Bottom lease,AUZ,30_1,10.5,3,YES,29.214466860000002,-83.093283020000001,,
L-531,L-531,,DERRICKS,Vacant,,Bottom lease,AUZ,30_1,10.5,3,YES,29.213923800000000,-83.093185219999995,,
L-532,L-532,,DERRICKS,Vacant,,Bottom lease,AUZ,30_1,10.5,3,YES,29.213380659999999,-83.093085930000001,,
L-533,L-533,,DERRICKS,Vacant,,Bottom lease,AUZ,30_1,10.5,3,YES,29.212837560000001,-83.092987390000005,,
L-534,L-534,,DERRICKS,Vacant,,Bottom lease,AUZ,30_1,10.5,3,YES,29.212294450000002,-83.092888860000002,,
L-535,L-535,,DERRICKS,Vacant,,Bottom lease,AUZ,30_1,10.5,3,YES,29.211751339999999,-83.092790330000000,,
L-536,L-536,,DERRICKS,Vacant,,Bottom lease,AUZ,30_1,10.5,3,YES,29.211208240000001,-83.092691779999996,,
L-537,L-537,,DERRICKS,Vacant,,Bottom lease,AUZ,30_1,10.5,3,YES,29.210665129999999,-83.092593239999999,,
L-538,L-538,,DERRICKS,Vacant,,Bottom lease,AUZ,30_1,10.5,3,YES,29.210122020000000,-83.092494700000003,,
L-539,L-539,,DERRICKS,Vacant,,Bottom lease,AUZ,30_1,10.5,3,YES,29.209578919999998,-83.092396170000001,,
L-540,L-540,,DERRICKS,Vacant,,Bottom lease,AUZ,30_1,10.5,3,YES,29.209035820000000,-83.092297639999998,,
L-541,L-541,,DERRICKS,Vacant,,Bottom lease,AUZ,30_1,10.5,3,YES,29.208492710000002,-83.092199100000002,,
L-542,L-542,,DERRICKS,Vacant,,Bottom lease,AUZ,30_1,10.5,3,YES,29.207949599999999,-83.092100579999993,,
L-543,L-543,,DERRICKS,Vacant,,Bottom lease,AUZ,30_1,10.5,3,YES,29.207406490000000,-83.092002050000005,,
L-544,L-544,,DERRICKS,Vacant,,Bottom lease,AUZ,30_1,10.5,3,YES,29.206863380000001,-83.091903529999996,,
L-545,L-545,,DERRICKS,Vacant,,Bottom lease,AUZ,30_1,10.5,3,YES,29.206320280000000,-83.091804990000000,,
L-546,L-546,,DERRICKS,Vacant,,Bottom lease,AUZ,30_1,10.5,3,YES,29.205777179999998,-83.091706459999997,,
L-547,L-547,,DERRICKS,Vacant,,Bottom lease,AUZ,30_1,10.5,3,YES,29.205234059999999,-83.091607929999995,,
L-548,L-548,,DERRICKS,Vacant,,Bottom lease,AUZ,30_1,10.5,3,YES,29.204690950000000,-83.091509419999994,,
L-502,L-502,,DERRICKS,Vacant,,Bottom lease,AUZ,30_1,10.5,3,YES,29.216898629999999,-83.091819930000000,,
L-503,L-503,,DERRICKS,Vacant,,Bottom lease,AUZ,30_1,10.5,3,YES,29.216355530000001,-83.091721399999997,,
L-504,L-504,,DERRICKS,Vacant,,Bottom lease,AUZ,30_1,10.5,3,YES,29.215812410000002,-83.091622869999995,,
