lease_id,datetime_uct,prob_1d_perc,prob_2d_perc,prob_3d_perc,flag
630,9/15/20,0,0,0,testing
42-70,9/15/20,0,0,0,testing
20-66,9/15/20,0,0,0,testing
603,9/15/20,0,0,0,testing
734,9/15/20,0,0,0,testing
149,9/15/20,0,0,0,testing
2001,9/15/20,0,0,0,testing
641,9/15/20,0,0,0,testing
642,9/15/20,0,0,0,testing
9304,9/15/20,0,0,0,testing
995969,9/15/20,0,0,0,testing
841,9/15/20,0,0,0,testing
328,9/15/20,0,0,0,testing
9207,9/15/20,0,0,0,testing
1652130,9/15/20,0,0,0,testing
145,9/15/20,0,0,0,testing
344-A,9/15/20,0,0,0,testing
347,9/15/20,0,0,0,testing
857,9/15/20,0,0,0,testing
866,9/15/20,0,0,0,testing
9201,9/15/20,0,0,0,testing
1636075,9/15/20,0,0,0,testing
1636083,9/15/20,0,0,0,testing
164,9/15/20,0,0,0,testing
1683820,9/15/20,0,0,0,testing
1618255,9/15/20,0,0,0,testing
1627843,9/15/20,0,0,0,testing
1632173,9/15/20,0,0,0,testing
1624519,9/15/20,0,0,0,testing
1572734,9/15/20,0,0,0,testing
WC-7-96,9/15/20,0,0,0,testing
1623511,9/15/20,0,0,0,testing
1547728,9/15/20,0,0,0,testing
1642487,9/15/20,0,0,0,testing
1642578,9/15/20,0,0,0,testing
1704170,9/15/20,0,0,0,testing
1704188,9/15/20,0,0,0,testing
1703669,9/15/20,0,0,0,testing
1703677,9/15/20,0,0,0,testing
9803,9/15/20,0,0,0,testing
1701838,9/15/20,0,0,0,testing
1670165,9/15/20,0,0,0,testing
1652866,9/15/20,0,0,0,testing
1686427,9/15/20,0,0,0,testing
1770692,9/15/20,0,0,0,testing
1770700,9/15/20,0,0,0,testing
1746197,9/15/20,0,0,0,testing
1701846,9/15/20,0,0,0,testing
1624147,9/15/20,0,0,0,testing
1722024,9/15/20,0,0,0,testing
1652148,9/15/20,0,0,0,testing
1702596,9/15/20,0,0,0,testing
1702604,9/15/20,0,0,0,testing
1763929,9/15/20,0,0,0,testing
1792357,9/15/20,0,0,0,testing
WC-13-09,9/15/20,0,0,0,testing
1718394,9/15/20,0,0,0,testing
1670173,9/15/20,0,0,0,testing
1705169,9/15/20,0,0,0,testing
9613,9/15/20,0,0,0,testing
1843986,9/15/20,0,0,0,testing
689,9/15/20,0,0,0,testing
1886639,9/15/20,0,0,0,testing
1859933,9/15/20,0,0,0,testing
1891340,9/15/20,0,0,0,testing
1872753,9/15/20,0,0,0,testing
1872779,9/15/20,0,0,0,testing
1861319,9/15/20,0,0,0,testing
1861301,9/15/20,0,0,0,testing
1892199,9/15/20,0,0,0,testing
1889450,9/15/20,0,0,0,testing
1863943,9/15/20,0,0,0,testing
1867472,9/15/20,0,0,0,testing
1885508,9/15/20,0,0,0,testing
1867944,9/15/20,0,0,0,testing
1897156,9/15/20,0,0,0,testing
1897966,9/15/20,0,0,0,testing
1849561,9/15/20,0,0,0,testing
1709310,9/15/20,0,0,0,testing
1841451,9/15/20,0,0,0,testing
1809318,9/15/20,0,0,0,testing
1900919,9/15/20,0,0,0,testing
1803675,9/15/20,0,0,0,testing
1804186,9/15/20,0,0,0,testing
1800853,9/15/20,0,0,0,testing
1854256,9/15/20,0,0,0,testing
1809391,9/15/20,0,0,0,testing
1859941,9/15/20,0,0,0,testing
1535467,9/15/20,0,0,0,testing
1865278,9/15/20,0,0,0,testing
1871458,9/15/20,0,0,0,testing
1889468,9/15/20,0,0,0,testing
1797083,9/15/20,0,0,0,testing
1801158,9/15/20,0,0,0,testing
1871441,9/15/20,0,0,0,testing
1800861,9/15/20,0,0,0,testing
1885565,9/15/20,0,0,0,testing
1867951,9/15/20,0,0,0,testing
1860139,9/15/20,0,0,0,testing
1900182,9/15/20,0,0,0,testing
1858844,9/15/20,0,0,0,testing
1872787,9/15/20,0,0,0,testing
1863950,9/15/20,0,0,0,testing
1709328,9/15/20,0,0,0,testing
1849579,9/15/20,0,0,0,testing
1882265,9/15/20,0,0,0,testing
1895028,9/15/20,0,0,0,testing
1888890,9/15/20,0,0,0,testing
1888908,9/15/20,0,0,0,testing
1766302,9/15/20,0,0,0,testing
1894906,9/15/20,0,0,0,testing
1789601,9/15/20,0,0,0,testing
1795004,9/15/20,0,0,0,testing
1796036,9/15/20,0,0,0,testing
1834902,9/15/20,0,0,0,testing
1766245,9/15/20,0,0,0,testing
1750454,9/15/20,0,0,0,testing
1919877,9/15/20,0,0,0,testing
1909985,9/15/20,0,0,0,testing
1914373,9/15/20,0,0,0,testing
1914381,9/15/20,0,0,0,testing
1909993,9/15/20,0,0,0,testing
1909647,9/15/20,0,0,0,testing
1909787,9/15/20,0,0,0,testing
1909795,9/15/20,0,0,0,testing
1930619,9/15/20,0,0,0,testing
1930627,9/15/20,0,0,0,testing
1860071,9/15/20,0,0,0,testing
1860089,9/15/20,0,0,0,testing
1885466,9/15/20,0,0,0,testing
1885474,9/15/20,0,0,0,testing
1871466,9/15/20,0,0,0,testing
1907682,9/15/20,0,0,0,testing
1907708,9/15/20,0,0,0,testing
1908060,9/15/20,0,0,0,testing
1909969,9/15/20,0,0,0,testing
1909977,9/15/20,0,0,0,testing
1911221,9/15/20,0,0,0,testing
1911239,9/15/20,0,0,0,testing
1927474,9/15/20,0,0,0,testing
1917780,9/15/20,0,0,0,testing
1917798,9/15/20,0,0,0,testing
1944149,9/15/20,0,0,0,testing
1933001,9/15/20,0,0,0,testing
1933019,9/15/20,0,0,0,testing
1923788,9/15/20,0,0,0,testing
1909860,9/15/20,0,0,0,testing
1909878,9/15/20,0,0,0,testing
1911445,9/15/20,0,0,0,testing
1911437,9/15/20,0,0,0,testing
1911452,9/15/20,0,0,0,testing
561,9/15/20,0,0,0,testing
1918069,9/15/20,0,0,0,testing
1930916,9/15/20,0,0,0,testing
1930924,9/15/20,0,0,0,testing
87-80,9/15/20,0,0,0,testing
1931344,9/15/20,0,0,0,testing
1934553,9/15/20,0,0,0,testing
8818,9/15/20,0,0,0,testing
1934744,9/15/20,0,0,0,testing
9003,9/15/20,0,0,0,testing
1934801,9/15/20,0,0,0,testing
1934876,9/15/20,0,0,0,testing
1934884,9/15/20,0,0,0,testing
1934900,9/15/20,0,0,0,testing
1934918,9/15/20,0,0,0,testing
1935162,9/15/20,0,0,0,testing
1935170,9/15/20,0,0,0,testing
1937275,9/15/20,0,0,0,testing
1911528,9/15/20,0,0,0,testing
1911536,9/15/20,0,0,0,testing
1911494,9/15/20,0,0,0,testing
1911502,9/15/20,0,0,0,testing
1930858,9/15/20,0,0,0,testing
1935113,9/15/20,0,0,0,testing
1960558,9/15/20,0,0,0,testing
1960566,9/15/20,0,0,0,testing
1946284,9/15/20,0,0,0,testing
1946292,9/15/20,0,0,0,testing
1948082,9/15/20,0,0,0,testing
1948108,9/15/20,0,0,0,testing
1947084,9/15/20,0,0,0,testing
1961911,9/15/20,0,0,0,testing
1961929,9/15/20,0,0,0,testing
1946474,9/15/20,0,0,0,testing
1951300,9/15/20,0,0,0,testing
1886621,9/15/20,0,0,0,testing
1946003,9/15/20,0,0,0,testing
1946011,9/15/20,0,0,0,testing
1948637,9/15/20,0,0,0,testing
1948645,9/15/20,0,0,0,testing
1951334,9/15/20,0,0,0,testing
1951342,9/15/20,0,0,0,testing
1946383,9/15/20,0,0,0,testing
1946391,9/15/20,0,0,0,testing
1946656,9/15/20,0,0,0,testing
9112,9/15/20,0,0,0,testing
1961903,9/15/20,0,0,0,testing
1977362,9/15/20,0,0,0,testing
1977388,9/15/20,0,0,0,testing
1947688,9/15/20,0,0,0,testing
1947696,9/15/20,0,0,0,testing
1951391,9/15/20,0,0,0,testing
1951409,9/15/20,0,0,0,testing
1946706,9/15/20,0,0,0,testing
1946722,9/15/20,0,0,0,testing
1966936,9/15/20,0,0,0,testing
1935139,9/15/20,0,0,0,testing
1935147,9/15/20,0,0,0,testing
1948553,9/15/20,0,0,0,testing
1948561,9/15/20,0,0,0,testing
1948538,9/15/20,0,0,0,testing
1948504,9/15/20,0,0,0,testing
1962653,9/15/20,0,0,0,testing
9706A,9/15/20,0,0,0,testing
9706B,9/15/20,0,0,0,testing
1986868,9/15/20,0,0,0,testing
1947738,9/15/20,0,0,0,testing
1947753,9/15/20,0,0,0,testing
1962620,9/15/20,0,0,0,testing
9109,9/15/20,0,0,0,testing
1948058,9/15/20,0,0,0,testing
1948066,9/15/20,0,0,0,testing
1932979,9/15/20,0,0,0,testing
1994409,9/15/20,0,0,0,testing
1974328,9/15/20,0,0,0,testing
1974070,9/15/20,0,0,0,testing
1979590,9/15/20,0,0,0,testing
1987775,9/15/20,0,0,0,testing
1987825,9/15/20,0,0,0,testing
1988831,9/15/20,0,0,0,testing
1988849,9/15/20,0,0,0,testing
1988856,9/15/20,0,0,0,testing
1974773,9/15/20,0,0,0,testing
1974716,9/15/20,0,0,0,testing
1975986,9/15/20,0,0,0,testing
1987858,9/15/20,0,0,0,testing
1977867,9/15/20,0,0,0,testing
1966720,9/15/20,0,0,0,testing
1978006,9/15/20,0,0,0,testing
1976059,9/15/20,0,0,0,testing
1988716,9/15/20,0,0,0,testing
1983634,9/15/20,0,0,0,testing
1989615,9/15/20,0,0,0,testing
1992130,9/15/20,0,0,0,testing
1993526,9/15/20,0,0,0,testing
1993609,9/15/20,0,0,0,testing
1974831,9/15/20,0,0,0,testing
1982925,9/15/20,0,0,0,testing
1989342,9/15/20,0,0,0,testing
1979970,9/15/20,0,0,0,testing
1980028,9/15/20,0,0,0,testing
1947688 ext,9/15/20,0,0,0,testing
1974393,9/15/20,0,0,0,testing
1976018,9/15/20,0,0,0,testing
1994508,9/15/20,0,0,0,testing
1994433,9/15/20,0,0,0,testing
1994813,9/15/20,0,0,0,testing
1994961,9/15/20,0,0,0,testing
1995026,9/15/20,0,0,0,testing
1994920,9/15/20,0,0,0,testing
1966753,9/15/20,0,0,0,testing
1996396,9/15/20,0,0,0,testing
1995059,9/15/20,0,0,0,testing
1983113,9/15/20,0,0,0,testing
1976000,9/15/20,0,0,0,testing
1974336,9/15/20,0,0,0,testing
1966738,9/15/20,0,0,0,testing
1966761,9/15/20,0,0,0,testing
1974096,9/15/20,0,0,0,testing
1974724,9/15/20,0,0,0,testing
1974781,9/15/20,0,0,0,testing
